areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
S12000029,South Lanarkshire,utla,2021-12-09,241719
S12000045,East Dunbartonshire,utla,2021-12-09,85531
E06000003,Redcar and Cleveland,utla,2021-12-08,97556
E06000014,York,utla,2021-12-08,147518
E06000050,Cheshire West and Chester,utla,2021-12-08,258705
E08000001,Bolton,utla,2021-12-08,189444
E08000016,Barnsley,utla,2021-12-08,169714
E08000031,Wolverhampton,utla,2021-12-08,162758
E08000032,Bradford,utla,2021-12-08,325426
E09000018,Hounslow,utla,2021-12-08,185619
E09000032,Wandsworth,utla,2021-12-08,228670
E09000033,Westminster,utla,2021-12-08,144978
E10000034,Worcestershire,utla,2021-12-08,438695
S12000013,Na h-Eileanan Siar,utla,2021-12-08,20447
S12000029,South Lanarkshire,utla,2021-12-08,241637
S12000045,East Dunbartonshire,utla,2021-12-08,85509
E06000003,Redcar and Cleveland,utla,2021-12-07,97497
E06000014,York,utla,2021-12-07,147417
E06000050,Cheshire West and Chester,utla,2021-12-07,258547
E08000001,Bolton,utla,2021-12-07,189309
E08000016,Barnsley,utla,2021-12-07,169610
E08000031,Wolverhampton,utla,2021-12-07,162618
E08000032,Bradford,utla,2021-12-07,325192
E09000018,Hounslow,utla,2021-12-07,185443
E09000032,Wandsworth,utla,2021-12-07,228559
E09000033,Westminster,utla,2021-12-07,144783
E10000034,Worcestershire,utla,2021-12-07,438452
S12000013,Na h-Eileanan Siar,utla,2021-12-07,20444
S12000029,South Lanarkshire,utla,2021-12-07,241560
S12000045,East Dunbartonshire,utla,2021-12-07,85459
E06000003,Redcar and Cleveland,utla,2021-12-06,97451
E06000014,York,utla,2021-12-06,147332
E06000050,Cheshire West and Chester,utla,2021-12-06,258417
E08000001,Bolton,utla,2021-12-06,189251
E08000016,Barnsley,utla,2021-12-06,169460
E08000031,Wolverhampton,utla,2021-12-06,162488
E08000032,Bradford,utla,2021-12-06,324923
E09000018,Hounslow,utla,2021-12-06,185239
E09000032,Wandsworth,utla,2021-12-06,228431
E09000033,Westminster,utla,2021-12-06,144655
E10000034,Worcestershire,utla,2021-12-06,438141
S12000013,Na h-Eileanan Siar,utla,2021-12-06,20437
